,Кредит (актив),Вклад (пассив),Дата погашения,"Срок погашения, дней","Ставка, %",[ОТВЕТ] Номер группы,Пример группировки (для первых 20 сделок),
0,0.0,33000000.0,04.06.2018,74,2.0246,16.0,1.0,
1,100000000.0,0.0,11.06.2018,81,2.0714,18.0,1.0,
2,550000000.0,0.0,07.05.2018,46,1.7935,13.0,2.0,
3,0.0,5000000.0,11.06.2018,81,2.0714,18.0,1.0,
4,0.0,5000000.0,11.06.2018,81,2.0714,18.0,1.0,
5,6100000.0,0.0,14.06.2018,84,2.1069,18.0,1.0,
6,0.0,8200000.0,14.06.2018,84,2.1069,18.0,1.0,
7,14400000.0,0.0,18.06.2018,88,2.1775,19.0,3.0,
8,0.0,50000000.0,28.04.2018,37,0.9745,2.0,4.0,
9,50000000.0,0.0,07.06.2018,77,0.934,1.0,5.0,
10,0.0,11300000.0,05.06.2018,75,2.0246,16.0,1.0,
11,0.0,24500000.0,09.05.2018,48,1.7999,13.0,2.0,
12,121700000.0,0.0,27.04.2018,36,1.7603,13.0,2.0,
13,111000000.0,0.0,27.04.2018,36,1.7603,13.0,2.0,
14,0.0,55600000.0,30.04.2018,39,1.7669,13.0,2.0,
15,0.0,22000000.0,09.05.2018,48,1.7999,13.0,2.0,
16,0.0,10000000.0,10.05.2018,49,1.8105,14.0,2.0,
17,11100000.0,0.0,16.05.2018,55,1.85,14.0,2.0,
18,0.0,1100000.0,17.05.2018,56,1.8725,14.0,2.0,
19,8000000.0,0.0,17.05.2018,56,1.8849,14.0,2.0,
20,50000000.0,0.0,21.05.2018,60,1.8849,14.0,,
21,0.0,52000000.0,21.05.2018,60,1.8921,15.0,,
22,20000000.0,0.0,24.05.2018,63,1.9436,15.0,,
23,50600000.0,0.0,24.05.2018,63,1.9436,15.0,,
24,11000000.0,0.0,24.05.2018,63,1.9436,15.0,,
25,0.0,25000000.0,24.05.2018,63,1.9436,15.0,,
26,0.0,11000000.0,24.05.2018,63,1.9436,15.0,,
27,25000000.0,0.0,24.05.2018,63,1.9436,15.0,,
28,0.0,41800000.0,01.06.2018,71,2.0063,16.0,,
29,18900000.0,0.0,04.06.2018,74,2.0246,16.0,,
30,0.0,5900000.0,04.06.2018,74,2.0246,16.0,,
31,14700000.0,0.0,06.06.2018,76,2.0252,16.0,,
32,0.0,55400000.0,06.06.2018,76,2.0252,16.0,,
33,60900000.0,0.0,06.06.2018,76,2.0252,16.0,,
34,0.0,67800000.0,07.06.2018,77,2.0349,16.0,,
35,0.0,127500000.0,18.06.2018,88,2.1775,19.0,,
36,0.0,16000000.0,31.05.2018,70,1.9842,16.0,,
37,102300000.0,0.0,30.04.2018,39,1.7669,13.0,,
38,20500000.0,0.0,04.05.2018,43,1.787,13.0,,
39,26000000.0,0.0,10.05.2018,49,1.8105,14.0,,
40,80000000.0,0.0,30.04.2018,39,1.7723,13.0,,
41,0.0,20600000.0,14.05.2018,53,1.8105,14.0,,
42,0.0,76000000.0,18.05.2018,57,1.8849,14.0,,
43,20600000.0,0.0,04.06.2018,74,2.0246,16.0,,
44,0.0,103200000.0,07.06.2018,77,2.0349,16.0,,
45,0.0,103300000.0,08.06.2018,78,2.0473,16.0,,
46,0.0,54100000.0,11.06.2018,81,2.0714,18.0,,
47,0.0,103100000.0,14.06.2018,84,2.1069,18.0,,
48,50000000.0,0.0,18.06.2018,88,2.145,18.0,,
49,0.0,54200000.0,21.06.2018,91,2.2225,19.0,,
50,0.0,41000000.0,23.04.2018,32,1.7447,13.0,,
51,0.0,14400000.0,23.04.2018,32,1.7447,13.0,,
52,102500000.0,0.0,27.04.2018,36,1.7603,13.0,,
53,0.0,20500000.0,30.04.2018,39,1.7603,13.0,,
54,0.0,14300000.0,01.05.2018,40,1.7734,13.0,,
55,0.0,8600000.0,04.05.2018,43,1.787,13.0,,
56,0.0,78000000.0,30.05.2018,69,1.9842,16.0,,
57,53100000.0,0.0,08.05.2018,47,1.7907,13.0,,
58,10200000.0,0.0,09.05.2018,48,1.7999,13.0,,
59,0.0,79300000.0,10.05.2018,49,1.8105,14.0,,
60,101700000.0,0.0,11.05.2018,50,1.8105,14.0,,
61,33000000.0,0.0,11.05.2018,50,1.8105,14.0,,
62,77000000.0,0.0,30.05.2018,69,1.9842,16.0,,
63,25500000.0,0.0,16.05.2018,55,1.85,14.0,,
64,10500000.0,0.0,16.05.2018,55,1.85,14.0,,
65,20000000.0,0.0,18.05.2018,57,1.8849,14.0,,
66,0.0,20500000.0,29.05.2018,68,1.9436,15.0,,
67,0.0,20400000.0,29.05.2018,68,1.9436,15.0,,
68,0.0,8500000.0,29.05.2018,68,1.9842,16.0,,
69,25000000.0,0.0,24.04.2018,33,1.7413,13.0,,
70,0.0,25000000.0,24.04.2018,33,1.7413,13.0,,
71,20400000.0,0.0,25.04.2018,34,1.7452,13.0,,
72,14300000.0,0.0,25.04.2018,34,1.7452,13.0,,
73,0.0,20500000.0,27.04.2018,36,1.7603,13.0,,
74,20500000.0,0.0,30.04.2018,39,1.7723,13.0,,
75,10600000.0,0.0,30.04.2018,39,1.7723,13.0,,
76,0.0,20500000.0,30.04.2018,39,1.7723,13.0,,
77,10600000.0,0.0,30.04.2018,39,1.7723,13.0,,
78,23400000.0,0.0,01.05.2018,40,1.7734,13.0,,
79,35100000.0,0.0,01.05.2018,40,1.7734,13.0,,
80,0.0,50800000.0,01.05.2018,40,1.7734,13.0,,
81,0.0,53000000.0,01.05.2018,40,1.7734,13.0,,
82,0.0,20500000.0,01.05.2018,40,1.7734,13.0,,
83,0.0,4200000.0,02.05.2018,41,1.7778,13.0,,
84,0.0,10200000.0,02.05.2018,41,1.7778,13.0,,
85,6600000.0,0.0,04.05.2018,43,1.787,13.0,,
86,0.0,12300000.0,08.05.2018,47,1.7935,13.0,,
87,10200000.0,0.0,09.05.2018,48,1.7999,13.0,,
88,157000000.0,0.0,15.05.2018,54,1.8388,14.0,,
89,158000000.0,0.0,15.05.2018,54,1.8388,14.0,,
90,0.0,15000000.0,10.05.2018,49,1.8105,14.0,,
91,5000000.0,0.0,14.05.2018,53,1.82,14.0,,
92,10000000.0,0.0,14.05.2018,53,1.82,14.0,,
93,1000000.0,0.0,14.05.2018,53,1.82,14.0,,
94,10000000.0,0.0,14.05.2018,53,1.82,14.0,,
95,10000000.0,0.0,14.05.2018,53,1.8334,14.0,,
96,20000000.0,0.0,15.05.2018,54,1.8388,14.0,,
97,0.0,1000000.0,16.05.2018,55,1.85,14.0,,
98,10000000.0,0.0,16.05.2018,55,1.85,14.0,,
99,10000000.0,0.0,17.05.2018,56,1.8849,14.0,,
100,0.0,10000000.0,17.05.2018,56,1.8849,14.0,,
101,0.0,10000000.0,17.05.2018,56,1.8849,14.0,,
102,0.0,10000000.0,21.05.2018,60,1.8921,15.0,,
103,0.0,50000000.0,21.05.2018,60,1.8921,15.0,,
104,0.0,20800000.0,21.05.2018,60,1.8921,15.0,,
105,0.0,10000000.0,21.05.2018,60,1.8921,15.0,,
106,10000000.0,0.0,23.05.2018,62,1.9198,15.0,,
107,0.0,10000000.0,23.05.2018,62,1.9198,15.0,,
108,25000000.0,0.0,23.05.2018,62,1.9198,15.0,,
109,0.0,1000.0,24.05.2018,63,1.9436,15.0,,
110,0.0,20800000.0,24.05.2018,63,1.9436,15.0,,
111,20800000.0,0.0,24.05.2018,63,1.9436,15.0,,
112,0.0,20700000.0,29.05.2018,68,1.9842,16.0,,
113,12500000.0,0.0,01.06.2018,71,2.0063,16.0,,
114,0.0,16600000.0,04.06.2018,74,2.0172,16.0,,
115,0.0,50000000.0,17.05.2018,56,1.8849,14.0,,
116,20800000.0,0.0,04.06.2018,74,2.0246,16.0,,
117,0.0,21870000.0,04.06.2018,74,2.0246,16.0,,
118,10000000.0,0.0,04.06.2018,74,2.0246,16.0,,
119,10400000.0,0.0,04.06.2018,74,2.0246,16.0,,
120,20900000.0,0.0,06.06.2018,76,2.0252,16.0,,
121,10000000.0,0.0,07.06.2018,77,2.0349,16.0,,
122,0.0,10000000.0,08.06.2018,78,2.0473,16.0,,
123,0.0,50000000.0,11.06.2018,81,2.0573,16.0,,
124,10400000.0,0.0,11.06.2018,81,2.0714,18.0,,
125,0.0,50000000.0,11.06.2018,81,2.0714,18.0,,
126,46300000.0,0.0,03.05.2018,42,1.787,13.0,,
127,50900000.0,0.0,03.05.2018,42,1.787,13.0,,
128,0.0,5200000.0,03.05.2018,42,1.787,13.0,,
129,20800000.0,0.0,11.05.2018,50,1.8105,14.0,,
130,50800000.0,0.0,14.05.2018,53,1.8334,14.0,,
131,0.0,10000000.0,14.05.2018,53,1.8334,14.0,,
132,10900000.0,0.0,15.05.2018,54,1.8388,14.0,,
133,0.0,10000000.0,15.05.2018,54,1.8388,14.0,,
134,0.0,6200000.0,15.05.2018,54,1.8388,14.0,,
135,8300000.0,0.0,17.05.2018,56,1.8849,14.0,,
136,10900000.0,0.0,17.05.2018,56,1.8849,14.0,,
137,0.0,28600000.0,17.05.2018,56,1.8849,14.0,,
138,3100000.0,0.0,17.05.2018,56,1.8849,14.0,,
139,0.0,5500000.0,17.05.2018,56,1.8849,14.0,,
140,0.0,31300000.0,18.05.2018,57,1.8849,14.0,,
141,0.0,50000000.0,21.05.2018,60,1.8921,15.0,,
142,0.0,31200000.0,22.05.2018,61,1.9039,15.0,,
143,0.0,5000000.0,16.05.2018,55,1.85,14.0,,
144,0.0,120000000.0,15.05.2018,54,1.8388,14.0,,
145,0.0,5000000.0,25.05.2018,64,1.9436,15.0,,
146,5000000.0,0.0,30.05.2018,69,1.9842,16.0,,
147,0.0,21800000.0,30.05.2018,69,1.9842,16.0,,
148,21000000.0,0.0,04.06.2018,74,2.0172,16.0,,
149,0.0,34100000.0,01.06.2018,71,2.0063,16.0,,
150,1000000.0,0.0,01.06.2018,71,2.0063,16.0,,
151,60300000.0,0.0,07.06.2018,77,2.0349,16.0,,
152,27000000.0,0.0,14.06.2018,84,2.1069,18.0,,
153,40000000.0,0.0,15.05.2018,54,1.8388,14.0,,
154,0.0,185600000.0,18.06.2018,88,2.1775,19.0,,
155,10000000.0,0.0,18.06.2018,88,2.1775,19.0,,
156,0.0,27000000.0,18.06.2018,88,2.1775,19.0,,
157,15100000.0,0.0,21.06.2018,91,2.2225,19.0,,
158,10000000.0,0.0,24.04.2018,33,1.7413,13.0,,
159,2100000.0,0.0,24.04.2018,33,1.7413,13.0,,
160,0.0,30000000.0,25.04.2018,34,1.7452,13.0,,
161,0.0,10000000.0,25.04.2018,34,1.7452,13.0,,
162,20800000.0,0.0,23.04.2018,32,1.7447,13.0,,
163,0.0,40400000.0,15.05.2018,54,1.8388,14.0,,
164,0.0,11000000.0,30.05.2018,69,1.9842,16.0,,
165,18000000.0,0.0,01.06.2018,71,2.0063,16.0,,
166,10000000.0,0.0,01.06.2018,71,2.0063,16.0,,
167,50000000.0,0.0,04.06.2018,74,2.0246,16.0,,
168,60900000.0,0.0,06.06.2018,76,2.0252,16.0,,
169,24400000.0,0.0,07.06.2018,77,2.0349,16.0,,
170,0.0,54200000.0,07.06.2018,77,2.0349,16.0,,
171,42000000.0,0.0,07.06.2018,77,2.0349,16.0,,
172,0.0,11100000.0,08.06.2018,78,2.0473,16.0,,
173,11000000.0,0.0,11.06.2018,81,2.0714,18.0,,
174,11000000.0,0.0,11.06.2018,81,2.0714,18.0,,
175,0.0,1000000.0,15.06.2018,85,2.1245,18.0,,
176,0.0,10000000.0,15.06.2018,85,2.1245,18.0,,
177,21100000.0,0.0,18.06.2018,88,2.1775,19.0,,
178,18000000.0,0.0,18.06.2018,88,2.1775,19.0,,
179,0.0,100000000.0,19.06.2018,89,2.1775,19.0,,
180,10000000.0,0.0,21.06.2018,91,2.2225,19.0,,
181,10000000.0,0.0,21.06.2018,91,2.2225,19.0,,
182,81500000.0,0.0,15.05.2018,54,1.9604,15.0,,
183,11200000.0,0.0,24.04.2018,33,1.7413,13.0,,
184,0.0,106000000.0,24.04.2018,33,1.7413,13.0,,
185,0.0,11200000.0,26.04.2018,35,1.7525,13.0,,
186,0.0,16800000.0,30.04.2018,39,1.7603,13.0,,
187,18500000.0,0.0,30.04.2018,39,1.7603,13.0,,
188,61600000.0,0.0,30.04.2018,39,1.7603,13.0,,
189,0.0,50000000.0,30.04.2018,39,1.7669,13.0,,
190,62100000.0,0.0,30.04.2018,39,1.7723,13.0,,
191,0.0,50000000.0,30.04.2018,39,1.7723,13.0,,
