,"Ставка, %","Срок погашения, дней",Кредит (актив),Вклад (пассив),[ОТВЕТ] Номер группы,Пример группировки (для первых 20 сделок),,s
0,0.8495,39,261500000.0,0.0,0.0,0.0,0.0,261500000.0
1,0.905,45,50000000.0,0.0,0.0,0.0,0.0,50000000.0
2,0.934,77,50000000.0,0.0,1.0,5.0,0.0,50000000.0
3,0.9745,37,0.0,50000000.0,2.0,4.0,0.0,-50000000.0
4,0.98,54,82000000.0,0.0,3.0,0.0,0.0,82000000.0
5,1.03,63,0.0,50000000.0,3.0,0.0,0.0,-50000000.0
6,1.056,65,0.0,50000000.0,4.0,0.0,0.0,-50000000.0
7,1.236,57,76000000.0,0.0,5.0,0.0,0.0,76000000.0
8,1.245,74,100000000.0,0.0,6.0,0.0,0.0,100000000.0
9,1.34,58,0.0,163000000.0,7.0,0.0,0.0,-163000000.0
10,1.383,76,25500000.0,0.0,8.0,0.0,0.0,25500000.0
11,1.405,47,0.0,15000000.0,7.0,0.0,0.0,-15000000.0
12,1.4685,36,40000000.0,0.0,9.0,0.0,0.0,40000000.0
13,1.4725,36,0.0,21000000.0,9.0,0.0,0.0,-21000000.0
14,1.5622,36,21000000.0,40000000.0,10.0,0.0,0.0,-19000000.0
15,1.6162,54,62000000.0,0.0,11.0,0.0,0.0,62000000.0
16,1.6181,56,0.0,152700000.0,11.0,0.0,0.0,-152700000.0
17,1.668,74,195864700.0,170000000.0,12.0,0.0,0.0,25864700.0
18,1.7225,81,435000000.0,435000000.0,12.0,0.0,0.0,0.0
19,1.7413,33,778400000.0,614400000.0,13.0,0.0,0.0,164000000.0
20,1.7445,32,258100000.0,426000000.0,13.0,0.0,0.0,-167900000.0
21,1.7447,32,1111600000.0,750050000.0,13.0,0.0,0.0,361550000.0
22,1.7452,34,226500000.0,301200000.0,13.0,0.0,0.0,-74700000.0
23,1.7525,35,518900000.0,360800000.0,13.0,0.0,0.0,158100000.0
24,1.7603,36,1564200000.0,1368800000.0,13.0,4.0,0.0,195400000.0
25,1.7603,39,767100000.0,831850000.0,13.0,0.0,0.0,-64750000.0
26,1.7669,36,35000000.0,0.0,13.0,0.0,0.0,35000000.0
27,1.7669,39,456600000.0,757900000.0,13.0,2.0,0.0,-301300000.0
28,1.7723,39,758200000.0,845900000.0,13.0,0.0,0.0,-87700000.0
29,1.7734,40,1278900000.0,1330800000.0,13.0,0.0,0.0,-51900000.0
30,1.7734,41,50000000.0,0.0,13.0,0.0,0.0,50000000.0
31,1.7778,41,381000000.0,338400000.0,13.0,0.0,0.0,42600000.0
32,1.787,42,627500000.0,486700000.0,13.0,0.0,0.0,140800000.0
33,1.787,43,331000000.0,767101000.0,13.0,0.0,0.0,-436101000.0
34,1.787,46,10000000.0,20000000.0,13.0,0.0,0.0,-10000000.0
35,1.787,47,337200000.0,415600000.0,13.0,0.0,0.0,-78400000.0
36,1.789,47,517600000.0,546200000.0,13.0,0.0,0.0,-28600000.0
37,1.7907,47,678600000.0,504400000.0,13.0,0.0,0.0,174200000.0
38,1.7935,46,550000000.0,0.0,13.0,2.0,0.0,550000000.0
39,1.7935,47,297300000.0,208202630.0,13.0,0.0,0.0,89097370.0
40,1.7999,48,661900000.0,689800000.0,13.0,4.0,0.0,-27900000.0
41,1.8105,49,424200000.0,453300000.0,14.0,2.0,0.0,-29100000.0
42,1.8105,50,406400000.0,300000000.0,14.0,0.0,0.0,106400000.0
43,1.8105,53,529500000.0,414100000.0,14.0,0.0,0.0,115400000.0
44,1.82,53,131900000.0,56100000.0,14.0,0.0,0.0,75800000.0
45,1.8278,39,0.0,300000000.0,14.0,0.0,0.0,-300000000.0
46,1.8334,53,378400000.0,341000000.0,14.0,0.0,0.0,37400000.0
47,1.8388,54,2375500000.0,1538900000.0,14.0,0.0,0.0,836600000.0
48,1.85,55,1363800000.0,1264300000.0,14.0,2.0,0.0,99500000.0
49,1.8725,56,0.0,12100000.0,14.0,2.0,0.0,-12100000.0
50,1.8725,60,21300000.0,18000000.0,14.0,0.0,0.0,3300000.0
51,1.8849,56,336300000.0,314400000.0,14.0,2.0,0.0,21900000.0
52,1.8849,57,226200000.0,250124451.0,14.0,0.0,0.0,-23924451.0
